date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:06	3804/3804	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Sep%202017%2015:24:08%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv_icon1.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv_icon1.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:07:07	3633/3633	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Sep%202017%2015:23:30%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv_icon2.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv_icon2.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:07:09	5814/5814	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Sep%202017%2015:24:42%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv_icon3.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv_icon3.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:07:09	4252/4252	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Sep%202017%2015:25:18%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv_icon4.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv_icon4.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:07:10	2663/2663	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2019:50:30%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/counter_1.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/counter_1.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:07:10	2588/2588	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2019:50:48%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/counter_2.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/counter_2.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:07:10	3278/3278	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2019:51:08%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/counter_3.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/counter_3.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:07:12	7648/7648	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Oct%202017%2014:07:52%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/client1.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/client1.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:07:12	5915/5915	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Oct%202017%2014:07:40%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/client2.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/client2.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
14:07:12	58499/58499	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Sep%202017%2014:56:02%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv4.jpg	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/serv4.jpg	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
